x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3
0,0,1.570796327,,0,0,1.570796327,,0,0,1.570796327
0,0,1.570796327,,0,0,1.570796327,,0,0,1.570796327
-0.0000995,0.024434407,1.574868762,,0,0,1.570796327,,0,0,1.570796327
-0.0000995,0.024434407,1.574868762,,-9.95E-05,0.524434407,1.574868762,,-9.95E-05,0.024434407,1.574868762
-0.000696552,0.097735804,1.578941197,,-0.000298524,0.573303221,1.574868762,,-0.000298524,0.073303221,1.574868762
-0.00149261,0.195471,1.578941197,,-0.000696557,0.671040848,1.574868762,,-0.000696557,0.171040848,1.574868762
-0.004776304,0.464231646,1.583013632,,-0.001094589,0.768778476,1.574868762,,-0.001691629,0.293209844,1.578941197
-0.007761348,0.610808911,1.591158501,,-0.001492621,0.866516104,1.574868762,,-0.003184217,0.415373773,1.583013632
-0.013134265,0.830654751,1.595230936,,-0.002487694,0.988685099,1.578941197,,-0.004975323,0.561970489,1.583013632
-0.018009514,1.001627523,1.599303371,,-0.003681781,1.135287893,1.578941197,,-0.007960368,0.708547754,1.591158501
-0.025172848,1.22142231,1.603375806,,-0.005771404,1.306317395,1.583013632,,-0.010945412,0.855125019,1.591158501
-0.031440471,1.392349704,1.607448241,,-0.007761484,1.428474233,1.587086066,,-0.015124347,2.026116228,1.595230936
-0.038603469,1.587695296,1.607448241,,-0.01094561,1.623925175,1.587086066,,-0.018706292,2.172680122,1.595230936
-0.047556746,1.807424449,1.611520676,,-0.013333705,1.770513381,1.587086066,,-0.024974469,2.392502258,1.599303371
-0.061781682,2.124755704,1.615593111,,-0.018109631,1.965931905,1.595230936,,-0.032137467,2.58784785,1.607448241
-0.079882393,2.44188949,1.627810416,,-0.02298488,2.136904678,1.599303371,,-0.039300464,2.783193443,1.607448241
-0.090324274,2.612612728,1.631882851,,-0.030147878,2.33225027,1.607448241,,-0.048054271,2.978474215,1.615593111
-0.10464334,2.832057541,1.635955286,,-0.037310875,2.527595863,1.607448241,,-0.058796897,3.198123157,1.619665546
-0.126117901,3.124485419,1.644100155,,-0.046064682,2.722876635,1.615593111,,-0.068345897,3.393366661,1.619665546
-0.150671947,3.441184919,1.64817259,,-0.056408718,2.918079632,1.623737981,,-0.079484796,3.588525914,1.627810416
-0.165782129,3.636076918,1.64817259,,-0.066155255,3.088843979,1.627810416,,-0.095893466,3.856805288,1.631882851
-0.189830948,3.903779592,1.660389895,,-0.077294154,3.284003232,1.627810416,,-0.110212532,4.076250101,1.635955286
-0.205828377,4.074072103,1.66446233,,-0.090022212,3.479065288,1.635955286,,-0.124528906,4.27120202,1.644100155
-0.227287978,4.292934039,1.668534765,,-0.10185425,3.649697817,1.64002772,,-0.141527861,4.49045552,1.64817259
-0.258276606,4.58450723,1.676679635,,-0.114381077,3.820280745,1.644100155,,-0.158224894,4.685217986,1.65631746
-0.27377092,4.730293825,1.676679635,,-0.131380032,4.039534245,1.64817259,,-0.170747669,4.831289835,1.65631746
-0.301572919,4.973053095,1.684824505,,-0.145295804,4.210009487,1.652245025,,-0.186051463,5.001646082,1.660389895
-0.331351217,5.215577871,1.692969374,,-0.159905708,4.380426645,1.65631746,,-0.206619587,5.220593596,1.66446233
-0.352887218,5.385258918,1.697041809,,-0.175209502,4.550782892,1.660389895,,-0.223310387,5.390819547,1.668534765
-0.381464577,5.603305693,1.701114244,,-0.18832704,4.696802533,1.660389895,,-0.240694281,5.560976113,1.6726072
-0.404381878,5.772805706,1.705186679,,-0.21217104,4.939982462,1.668534765,,-0.258770981,5.731060475,1.676679635
-0.430573079,5.966520006,1.705186679,,-0.224588107,5.061522867,1.6726072,,-0.281012581,5.92526789,1.684824505
-0.458341171,6.16001456,1.713331549,,-0.242664807,5.231607228,1.676679635,,-0.301165852,6.095118715,1.68889694
-0.483327544,6.329221942,1.717403984,,-0.272159272,5.498764754,1.68075207,,-0.32796632,6.313391014,1.692969374
-0.516338579,6.546641659,1.721476419,,-0.291620672,5.668696243,1.684824505,,-0.343349178,6.434591762,1.697041809
-0.542702279,6.71563992,1.725548854,,-0.315443311,5.862716064,1.692969374,,-0.369540379,6.628306062,1.705186679
-0.577483055,6.932783557,1.729621289,,-0.334494883,6.008080581,1.701114244,,-0.39573158,6.822020362,1.705186679
-0.605222334,7.101561486,1.733693724,,-0.356030884,6.177761628,1.697041809,,-0.419338966,6.991425641,1.709259114
-0.638494355,7.294185944,1.741838593,,-0.378257719,6.347353564,1.701114244,,-0.447894821,7.184805506,1.717403984
-0.676807573,7.510734227,1.745911028,,-0.398492622,6.492558088,1.709259114,,-0.469311711,7.329840405,1.717403984
-0.707292399,7.679037918,1.749983463,,-0.422789703,6.661865822,1.713331549,,-0.49498696,7.498944629,1.721476419
-0.747368085,7.895266966,1.754055898,,-0.450557795,6.855360375,1.713331549,,-0.521350661,7.66794289,1.725548854
-0.779222696,8.063316782,1.758128333,,-0.471383865,7.00048129,1.713331549,,-0.548402375,7.836832386,1.729621289
-0.81719102,8.255070831,1.766273203,,-0.493391221,7.145427768,1.721476419,,-0.584067163,8.05383258,1.733693724
-0.851096319,8.422718938,1.770345638,,-0.519754922,7.314426029,1.725548854,,-0.609021179,8.198300924,1.741838593
-0.918906917,8.758015151,1.770345638,,-0.546806636,7.483315525,1.729621289,,-0.6422932,8.390925382,1.741838593
-0.959215067,8.949291031,1.778490508,,-0.574545916,7.652093454,1.733693724,,-0.67209237,8.559351824,1.745911028
-1.015709379,9.212067476,1.782562943,,-0.6029723,7.820757018,1.737766159,,-0.702577196,8.727655515,1.749983463
-1.075409815,9.474134119,1.794780247,,-0.627337773,7.965325786,1.737766159,,-0.742652881,8.943884562,1.754055898
-1.118828313,9.664728041,1.794780247,,-0.656450792,8.133872187,1.741838593,,-0.77054321,9.087814874,1.762200768
-1.175040068,9.902520499,1.802925117,,-0.682580643,8.278132493,1.749983463,,-0.807730316,9.279721957,1.762200768
-1.220009472,10.09275446,1.802925117,,-0.71375062,8.446310642,1.754055898,,-0.8409526,9.44750675,1.766273203
-1.27815613,10.3300812,1.811069987,,-0.749373451,8.638514239,1.754055898,,-0.874857899,9.615154857,1.770345638
-1.369718739,10.68497917,1.823287292,,-0.781228063,8.806564056,1.758128333,,-0.925243086,9.854249707,1.778490508
-1.413122073,10.85042284,1.827359727,,-0.809704306,8.950379593,1.766273203,,-0.961194012,10.02147108,1.782562943
-1.46426424,11.03909104,1.835504597,,-0.838180549,9.09419513,1.766273203,,-0.997825636,10.18854466,1.786635378
-1.515406408,11.22775923,1.835504597,,-0.881773076,9.309742696,1.770345638,,-1.02447686,10.30777539,1.790707813
-1.581252823,11.46306598,1.843649467,,-0.916360828,9.477251335,1.774418073,,-1.06711882,10.49854455,1.790707813
-1.62801572,11.62759163,1.847721901,,-0.95163046,9.64461773,1.778490508,,-1.111313138,10.68896007,1.798852682
-1.68145903,11.81562094,1.847721901,,-0.983028994,9.787823656,1.786635378,,-1.179928754,10.97403395,1.806997552
-1.736432025,12.00320873,1.855866771,,-1.024893707,9.97876489,1.786635378,,-1.225672499,11.1640832,1.806997552
-1.799135561,12.21399138,1.859939206,,-1.057457581,10.12171033,1.794780247,,-1.272962635,11.35375358,1.815142422
-1.856396213,12.40089357,1.868084076,,-1.096127609,10.28832391,1.798852682,,-1.320252771,11.54342396,1.815142422
-1.90716487,12.56422758,1.872156511,,-1.135475838,10.45477864,1.802925117,,-1.369086163,11.73270288,1.823287292
-1.965186193,12.75089503,1.872156511,,-1.175501614,10.62107173,1.806997552,,-1.412489497,11.89814655,1.827359727
-2.024725956,12.93708371,1.880301381,,-1.216204275,10.78720045,1.811069987,,-1.456566228,12.06341209,1.831432162
-2.084265719,13.12327239,1.880301381,,-1.257583144,10.95316203,1.815142422,,-1.508476308,12.25187045,1.839577032
-2.145319974,13.30896996,1.888446251,,-1.299637536,11.11895372,1.819214857,,-1.560386388,12.4403288,1.839577032
-2.199403712,13.47123643,1.892518686,,-1.354575101,11.3318925,1.823287292,,-1.613829699,12.62835811,1.847721901
-2.25414782,13.6332813,1.896591121,,-1.385577483,11.45006655,1.827359727,,-1.653912181,12.7693801,1.847721901
-2.30955139,13.79510188,1.900663555,,-1.429654214,11.61533209,1.831432162,,-1.701344708,12.93371394,1.851794336
-2.381631248,14.0028651,1.90473599,,-1.47440361,11.78041676,1.835504597,,-1.749446079,13.09785326,1.855866771
-2.438350973,14.16422907,1.908808425,,-1.527080742,11.96866216,1.843649467,,-1.804419074,13.28544105,1.855866771
-2.49572737,14.32536071,1.91288086,,-1.579757874,12.15690756,1.843649467,,-1.854522145,13.44898046,1.868084076
-2.553759487,14.48625736,1.916953295,,-1.613159943,12.27442587,1.847721901,,-1.911782797,13.63588264,1.868084076
-2.612446363,14.64691634,1.92102573,,-1.687696771,12.53266477,1.851794336,,-1.962551454,13.79921666,1.872156511
-2.688741497,14.85316889,1.925098165,,-1.735798142,12.69680409,1.855866771,,-2.013984856,13.96234257,1.876228946
-2.758050373,15.03594604,1.933243035,,-1.784567558,12.86074615,1.859939206,,-2.066082149,14.12525767,1.880301381
-2.827359249,15.2187232,1.933243035,,-1.841828211,13.04764834,1.868084076,,-2.127136403,14.31095524,1.888446251
-2.898154506,15.40092979,1.941387905,,-1.892596868,13.21098236,1.872156511,,-2.188190657,14.4966528,1.888446251
-2.942864939,15.51462777,1.94546034,,-1.93611286,13.35098294,1.872156511,,-2.242274396,14.65891927,1.892518686
-3.032285804,15.74202373,1.94546034,,-1.987546262,13.51410885,1.876228946,,-2.297018504,14.82096414,1.896591121
-3.095528127,15.90094467,1.949532774,,-2.04784377,13.70005352,1.884373816,,-2.352422073,14.98278472,1.900663555
-3.197952492,16.1494448,1.961750079,,-2.101266243,13.86253889,1.888446251,,-2.408484185,15.14437834,1.90473599
-3.263775091,16.3073145,1.965822514,,-2.155349982,14.02480536,1.892518686,,-2.47405721,15.32852879,1.91288086
-3.349230046,16.50994351,1.969894949,,-2.201707472,14.1638909,1.892518686,,-2.539630235,15.51267924,1.91288086
-3.416336276,16.66727186,1.973967384,,-2.25645158,14.32593577,1.896591121,,-2.597662353,15.67357588,1.916953295
-3.484082657,16.82432562,1.978039819,,-2.311855149,14.48775635,1.900663555,,-2.656349228,15.83423486,1.92102573
-3.552468066,16.98110219,1.982112254,,-2.367917261,14.64934997,1.90473599,,-2.724913183,16.01729276,1.9291706
-3.621491368,17.13759897,1.986184689,,-2.424636986,14.81071393,1.908808425,,-2.78555845,16.17722277,1.933243035
-3.700375142,17.31645243,1.986184689,,-2.474378801,14.94862534,1.916953295,,-2.846854516,16.33690448,1.93731547
-3.780713021,17.49465746,1.994329559,,-2.540701221,15.13250722,1.916953295,,-2.908800366,16.49633525,1.941387905
-3.851643094,17.6502993,1.998401994,,-2.582620418,15.24726364,1.92102573,,-2.979595623,16.67854183,1.941387905
-3.934152108,17.82750955,2.006546863,,-2.651184373,15.43032153,1.9291706,,-3.051872564,16.86016577,1.949532774
-4.006978364,17.98227322,2.010619298,,-2.711829639,15.59025155,1.933243035,,-3.115761556,17.01882784,1.953605209
-4.090208369,18.15914598,2.010619298,,-2.763811296,15.72733441,1.933243035,,-3.180296158,17.17722841,1.957677644
-4.174876204,18.33533499,2.018764168,,-2.825107363,15.88701613,1.93731547,,-3.245475299,17.33536486,1.961750079
-4.249587772,18.48919739,2.022836603,,-2.887053213,16.04644689,1.941387905,,-3.32143526,17.51547953,1.969894949
-4.324925314,18.64275426,2.026909038,,-2.949647818,16.20562406,1.94546034,,-3.416385211,17.74062287,1.969894949
-4.400887579,18.79600305,2.030981473,,-3.012890142,16.364545,1.949532774,,-3.493809646,17.92011288,1.978039819
-4.511184612,19.01403878,2.039126343,,-3.076779134,16.52320708,1.953605209,,-3.562195055,18.07688945,1.982112254
-4.589013449,19.1663481,2.043198778,,-3.131541128,16.65920314,1.953605209,,-3.631218357,18.23338623,1.986184689
-4.677960691,19.34041589,2.043198778,,-3.206031574,16.83993051,1.961750079,,-3.700878408,18.38960061,1.990257124
-4.768322726,19.51375346,2.051343648,,-3.26189941,16.97547604,1.961750079,,-3.791258522,18.59008128,1.994329559
-4.848006518,19.66510058,2.055416082,,-3.33785937,17.15559071,1.969894949,,-3.862188595,18.74572312,1.998401994
-4.951248707,19.8592709,2.059488517,,-3.385792391,17.2679681,1.973967384,,-3.933751918,18.90107481,2.002474428
-5.032162544,20.00996399,2.063560952,,-3.472894881,17.46989437,1.978039819,,-4.005947306,19.05613377,2.006546863
