Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-221.35,93.92,62.41,0.01,0.207,0.043,0.977,56
2,-221.40,93.92,62.34,0.009,0.21,0.043,0.977,56
3,-221.31,93.88,62.79,0.02,0.202,0.043,0.978,56.1
4,-221.35,93.93,62.33,0.009,0.213,0.044,0.976,55.9
5,-221.35,93.94,62.29,0.01,0.215,0.043,0.976,55.9
6,-221.32,93.89,62.78,0.021,0.204,0.045,0.978,56
7,-221.42,93.93,62.29,0.01,0.208,0.042,0.977,56
8,-221.41,93.93,62.24,0.011,0.213,0.043,0.976,55.9
9,-221.45,93.92,62.32,0.01,0.207,0.043,0.977,56
10,-221.36,93.93,62.39,0.01,0.21,0.043,0.977,56
11,-221.40,93.93,62.35,0.01,0.213,0.043,0.976,55.9
12,-221.37,93.93,62.35,0.01,0.211,0.043,0.977,56
13,-221.33,93.93,62.28,0.01,0.211,0.042,0.976,56
14,-221.41,93.93,62.30,0.01,0.205,0.043,0.978,56
15,-221.30,93.93,62.30,0.01,0.214,0.042,0.976,55.9
16,-221.33,93.93,62.30,0.011,0.212,0.042,0.976,55.9
17,-221.50,93.92,62.33,0.01,0.205,0.043,0.978,56
18,-221.41,93.93,62.33,0.01,0.209,0.042,0.977,56
19,-221.27,93.93,62.33,0.01,0.211,0.041,0.977,56
20,-221.54,93.92,62.31,0.01,0.202,0.043,0.978,56.1
21,-221.35,93.93,62.34,0.01,0.211,0.043,0.977,56
22,-221.39,93.92,62.33,0.01,0.213,0.043,0.976,55.9
23,-221.33,93.93,62.29,0.01,0.215,0.043,0.976,55.9
24,-221.35,93.93,62.35,0.01,0.219,0.043,0.975,55.9
25,-221.42,93.94,62.29,0.009,0.211,0.04,0.977,56
