Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-262.72,94.58,57.01,-0.015,-0.251,0.025,0.968,55.44
2,-262.74,94.58,57.00,-0.014,-0.251,0.025,0.967,55.43
3,-262.72,94.58,56.89,-0.015,-0.253,0.025,0.967,55.41
4,-262.69,94.58,57.01,-0.015,-0.25,0.025,0.968,55.45
5,-262.84,94.58,57.04,-0.012,-0.255,0.024,0.967,55.39
6,-262.74,94.57,57.02,-0.015,-0.252,0.025,0.967,55.43
7,-262.70,94.58,56.97,-0.015,-0.252,0.025,0.967,55.42
8,-262.74,94.58,56.97,-0.015,-0.252,0.026,0.967,55.42
9,-262.72,94.57,56.96,-0.014,-0.253,0.024,0.967,55.4
10,-262.74,94.58,56.97,-0.014,-0.251,0.024,0.968,55.44
11,-262.73,94.59,57.01,-0.013,-0.25,0.024,0.968,55.45
12,-262.78,94.56,56.99,-0.016,-0.253,0.025,0.967,55.4
13,-262.72,94.58,56.95,-0.015,-0.251,0.025,0.967,55.43
14,-262.72,94.59,57.01,-0.013,-0.251,0.023,0.968,55.44
15,-262.72,94.59,57.00,-0.013,-0.251,0.024,0.968,55.44
16,-262.72,94.58,56.95,-0.015,-0.252,0.025,0.967,55.43
17,-262.71,94.57,56.97,-0.015,-0.251,0.025,0.968,55.44
18,-262.72,94.60,57.00,-0.013,-0.251,0.023,0.968,55.44
19,-262.76,94.58,56.94,-0.014,-0.255,0.025,0.967,55.38
20,-262.70,94.58,56.92,-0.015,-0.251,0.025,0.968,55.44
21,-262.74,94.59,57.00,-0.013,-0.252,0.024,0.967,55.42
22,-262.77,94.59,56.99,-0.013,-0.253,0.024,0.967,55.41
23,-262.73,94.58,56.91,-0.017,-0.25,0.025,0.968,55.44
24,-262.72,94.58,56.92,-0.017,-0.251,0.025,0.968,55.44
25,-262.73,94.59,56.97,-0.015,-0.247,0.024,0.968,55.49
