Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-240.96,93.98,69.14,0.003,0.007,0.034,1,57.26
2,-241.02,93.98,69.33,0.004,-0.001,0.034,1,57.26
3,-241,93.99,69.24,0.001,0.004,0.034,1,57.26
4,-241.02,93.98,69.25,0.005,0.006,0.035,1,57.26
5,-240.99,93.98,69.31,0.006,-0.001,0.034,1,57.26
6,-241.02,93.98,69.28,0.004,0.009,0.036,1,57.26
7,-241.06,93.98,69.24,0.003,0.001,0.036,1,57.26
8,-241.05,93.98,69.33,0.004,0.001,0.035,1,57.26
9,-241.06,93.98,69.29,0.004,0.007,0.036,1,57.26
10,-241.09,93.96,69.4,0.005,0.004,0.037,1,57.26
11,-241.04,93.98,69.26,0.004,0.004,0.036,1,57.26
12,-241.07,93.98,69.35,0.005,0.001,0.036,1,57.26
13,-241.02,93.99,69.36,0.006,0.006,0.034,1,57.26
14,-241,93.99,69.39,0.006,0.003,0.033,1,57.26
15,-241.04,93.98,69.37,0.005,0.003,0.034,1,57.26
16,-241,93.99,69.4,0.007,0.002,0.034,1,57.26
17,-241.03,93.99,69.38,0.005,0.002,0.034,1,57.26
18,-241.04,93.98,69.36,0.006,-0.001,0.036,1,57.26
19,-241.03,93.99,69.38,0.006,0.002,0.033,1,57.26
20,-241,93.99,69.39,0.006,0.001,0.033,1,57.26
21,-240.96,93.99,69.39,0.006,0.001,0.032,1,57.26
22,-240.94,93.99,69.46,0.008,0.003,0.031,1,57.27
23,-241,93.99,69.41,0.006,0.002,0.032,1,57.26
24,-241.01,93.98,69.36,0.006,-0.001,0.034,1,57.26
25,-241.01,93.99,69.41,0.006,0.003,0.033,1,57.26
