Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-222.11,91.32,61.94,-0.016,-0.553,0.049,0.832,47.66
2,-222.11,91.33,61.93,-0.018,-0.564,0.048,0.824,47.24
3,-222.12,91.34,61.92,-0.018,-0.563,0.049,0.825,47.25
4,-222.13,91.35,61.91,-0.018,-0.566,0.047,0.823,47.16
5,-222.05,91.35,61.91,-0.017,-0.561,0.047,0.826,47.34
6,-222.09,91.34,61.93,-0.016,-0.548,0.049,0.835,47.84
7,-222.15,91.35,61.83,-0.019,-0.573,0.045,0.818,46.85
8,-222.13,91.34,61.91,-0.017,-0.565,0.049,0.824,47.2
9,-222.12,91.34,61.9,-0.018,-0.569,0.049,0.82,47.01
10,-222.02,91.34,61.92,-0.017,-0.563,0.048,0.825,47.25
11,-221.98,91.33,61.94,-0.017,-0.558,0.049,0.828,47.45
12,-222.09,91.35,61.79,-0.018,-0.563,0.048,0.825,47.27
13,-222.07,91.3,61.94,-0.018,-0.553,0.05,0.832,47.66
14,-222.1,91.31,61.94,-0.018,-0.568,0.049,0.821,47.05
15,-222.06,91.34,61.92,-0.018,-0.564,0.048,0.824,47.21
16,-222.08,91.33,61.9,-0.018,-0.563,0.047,0.825,47.28
17,-222.01,91.32,61.93,-0.015,-0.536,0.049,0.843,48.27
18,-222.12,91.33,61.92,-0.018,-0.564,0.048,0.824,47.21
19,-222.02,91.29,61.91,-0.017,-0.561,0.047,0.826,47.34
20,-222.1,91.31,61.91,-0.017,-0.565,0.048,0.824,47.2
21,-222.15,91.32,61.88,-0.019,-0.576,0.049,0.815,46.72
22,-222.09,91.31,61.89,-0.018,-0.566,0.049,0.823,47.13
23,-222.15,91.34,61.93,-0.019,-0.569,0.05,0.82,47
24,-222.11,91.35,61.93,-0.018,-0.563,0.05,0.825,47.27
25,-222.15,91.33,61.89,-0.018,-0.571,0.05,0.819,46.92
