Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-262.9,92.03,56.04,-0.055,-0.875,0.023,0.48,27.52
2,-262.92,92.02,56.02,-0.055,-0.877,0.023,0.478,27.37
3,-262.88,91.99,56.07,-0.054,-0.875,0.023,0.481,27.54
4,-262.89,91.99,56.1,-0.052,-0.869,0.024,0.491,28.14
5,-262.92,92.03,56.04,-0.054,-0.873,0.023,0.484,27.71
6,-262.88,92.01,56.19,-0.052,-0.863,0.024,0.503,28.81
7,-262.92,92.02,56.03,-0.055,-0.878,0.023,0.475,27.19
8,-262.92,91.99,56.05,-0.053,-0.874,0.024,0.482,27.6
9,-262.91,92,56.02,-0.054,-0.876,0.024,0.478,27.4
10,-262.83,91.99,55.99,-0.053,-0.873,0.024,0.483,27.7
11,-262.9,92.04,56.1,-0.052,-0.868,0.022,0.494,28.3
12,-262.89,92.04,56.09,-0.053,-0.871,0.021,0.487,27.91
13,-262.91,92.02,56.1,-0.053,-0.872,0.023,0.487,27.9
14,-262.91,92.03,56.08,-0.053,-0.871,0.022,0.488,27.94
15,-262.89,92.03,56.07,-0.055,-0.875,0.023,0.481,27.55
16,-262.89,91.99,56.06,-0.054,-0.877,0.023,0.478,27.36
17,-262.87,91.99,56.18,-0.051,-0.863,0.023,0.503,28.81
18,-262.89,91.99,56.1,-0.053,-0.872,0.023,0.487,27.88
19,-262.88,92,56.17,-0.051,-0.867,0.023,0.496,28.42
20,-262.89,92.03,56.11,-0.053,-0.869,0.022,0.492,28.18
21,-262.88,91.99,56.14,-0.052,-0.868,0.023,0.493,28.26
22,-262.9,91.98,56.1,-0.053,-0.873,0.023,0.485,27.77
23,-262.89,92.04,56.1,-0.052,-0.869,0.022,0.491,28.16
24,-262.87,92.01,56.04,-0.055,-0.874,0.023,0.482,27.64
25,-262.88,92.03,56.05,-0.055,-0.872,0.023,0.486,27.85
