Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-241.28,91.37,68.69,-0.03,-0.682,0.04,0.729,41.78
2,-241.38,91.38,68.69,-0.029,-0.693,0.041,0.719,41.22
3,-241.36,91.37,68.73,-0.03,-0.685,0.04,0.727,41.64
4,-241.28,91.38,68.70,-0.03,-0.685,0.04,0.727,41.63
5,-241.51,91.38,68.67,-0.032,-0.717,0.041,0.695,39.84
6,-241.39,91.38,68.70,-0.031,-0.702,0.039,0.711,40.72
7,-241.47,91.38,68.70,-0.031,-0.71,0.039,0.703,40.26
8,-241.38,91.39,68.70,-0.03,-0.694,0.041,0.718,41.14
9,-241.49,91.39,68.67,-0.031,-0.714,0.04,0.698,39.99
10,-241.48,91.38,68.51,-0.031,-0.715,0.04,0.698,39.97
11,-241.47,91.39,68.66,-0.032,-0.716,0.04,0.697,39.91
12,-241.33,91.39,68.73,-0.03,-0.683,0.041,0.729,41.75
13,-241.49,91.38,68.54,-0.031,-0.709,0.04,0.703,40.29
14,-241.31,91.37,68.72,-0.03,-0.69,0.04,0.722,41.36
15,-241.36,91.37,68.70,-0.029,-0.693,0.04,0.719,41.19
16,-241.47,91.37,68.57,-0.031,-0.718,0.039,0.695,39.8
17,-241.37,91.39,68.71,-0.031,-0.697,0.039,0.716,41
18,-241.34,91.37,68.71,-0.029,-0.69,0.039,0.722,41.36
19,-241.37,91.37,68.72,-0.029,-0.69,0.04,0.722,41.35
20,-241.39,91.38,68.70,-0.03,-0.697,0.04,0.715,40.96
21,-241.36,91.38,68.72,-0.031,-0.698,0.041,0.714,40.92
22,-241.39,91.39,68.75,-0.03,-0.703,0.041,0.709,40.65
23,-241.48,91.38,68.68,-0.032,-0.714,0.04,0.698,39.98
24,-241.44,91.38,68.71,-0.031,-0.71,0.039,0.702,40.24
25,-241.45,91.38,68.70,-0.032,-0.712,0.04,0.7,40.13
