Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-220.32,86.05,62.77,0.03,0.222,-0.004,0.975,55.84
2,-220.45,86.04,62.84,0.03,0.219,-0.001,0.975,55.88
3,-220.33,86.04,62.78,0.029,0.225,-0.002,0.974,55.8
4,-220.56,86.02,62.89,0.03,0.212,-0.002,0.977,55.97
5,-220.50,86.01,62.86,0.03,0.215,-0.002,0.976,55.92
6,-220.48,86.03,62.90,0.028,0.216,-0.002,0.976,55.92
7,-220.40,86.03,62.81,0.029,0.221,-0.002,0.975,55.86
8,-220.61,86.04,62.95,0.029,0.207,-0.002,0.978,56.03
9,-220.39,86.05,62.82,0.029,0.219,-0.003,0.975,55.88
10,-220.37,86.05,62.79,0.029,0.22,-0.002,0.975,55.86
11,-220.40,86.04,62.80,0.029,0.22,-0.002,0.975,55.87
12,-220.41,86.05,62.83,0.028,0.219,-0.002,0.975,55.88
13,-220.42,86.05,62.83,0.028,0.219,-0.002,0.975,55.88
14,-220.40,86.05,62.80,0.029,0.219,-0.002,0.975,55.88
15,-220.45,86.05,62.85,0.028,0.217,-0.003,0.976,55.91
16,-220.32,86.06,62.78,0.028,0.222,-0.003,0.975,55.84
17,-220.51,86.02,62.92,0.029,0.212,-0.003,0.977,55.96
18,-220.52,86.03,62.92,0.029,0.212,-0.002,0.977,55.97
19,-220.46,86.03,62.88,0.029,0.216,-0.003,0.976,55.92
20,-220.45,86.05,62.86,0.029,0.217,-0.002,0.976,55.91
21,-220.40,86.04,62.83,0.028,0.219,-0.003,0.975,55.88
22,-220.45,86.03,62.87,0.028,0.217,-0.003,0.976,55.9
23,-220.29,86.04,62.79,0.029,0.224,-0.004,0.974,55.81
24,-220.51,86.03,62.89,0.028,0.213,-0.002,0.977,55.95
25,-220.46,86.02,62.83,0.029,0.217,-0.003,0.976,55.9
