Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-262.85,86.74,57.89,0.025,-0.247,-0.011,0.969,55.51
2,-262.89,86.74,57.85,0.025,-0.251,-0.01,0.968,55.44
3,-262.88,86.74,57.86,0.025,-0.248,-0.01,0.968,55.48
4,-262.89,86.74,57.88,0.024,-0.25,-0.01,0.968,55.46
5,-262.93,86.73,57.88,0.02,-0.25,-0.008,0.968,55.46
6,-262.83,86.74,57.87,0.025,-0.247,-0.01,0.969,55.5
7,-262.88,86.73,57.88,0.021,-0.248,-0.008,0.968,55.49
8,-262.87,86.75,57.88,0.025,-0.248,-0.009,0.968,55.49
9,-262.89,86.74,57.88,0.024,-0.25,-0.011,0.968,55.45
10,-262.85,86.76,57.84,0.025,-0.248,-0.01,0.969,55.49
11,-262.87,86.75,57.84,0.024,-0.247,-0.01,0.969,55.5
12,-262.85,86.75,57.83,0.024,-0.247,-0.01,0.969,55.5
13,-262.87,86.76,57.88,0.024,-0.247,-0.01,0.969,55.5
14,-262.88,86.76,57.84,0.025,-0.247,-0.01,0.969,55.5
15,-262.91,86.76,57.85,0.024,-0.249,-0.01,0.968,55.47
16,-262.95,86.76,57.81,0.025,-0.252,-0.01,0.967,55.42
17,-262.89,86.76,57.85,0.025,-0.249,-0.01,0.968,55.48
18,-262.89,86.76,57.83,0.025,-0.249,-0.01,0.968,55.47
19,-262.88,86.76,57.84,0.025,-0.25,-0.01,0.968,55.45
20,-262.89,86.76,57.86,0.024,-0.251,-0.011,0.968,55.45
21,-262.90,86.76,57.81,0.025,-0.25,-0.01,0.968,55.45
22,-262.88,86.77,57.84,0.025,-0.247,-0.01,0.969,55.49
23,-262.85,86.77,57.84,0.025,-0.246,-0.01,0.969,55.51
24,-262.90,86.76,57.82,0.025,-0.25,-0.01,0.968,55.46
25,-262.88,86.77,57.81,0.025,-0.247,-0.01,0.969,55.5
