Sr. No.,Position,,,Rotation,,,,
,Position-X,Position-Y,Position-Z,Rotation-X,Rotation-Y,Rotation-Z,Rotation-W,Rotation-W(deg)
1,-240.60,86.09,70.23,0.03,-0.007,-0.003,1,57.27
2,-240.46,86.08,70.20,0.033,0.003,-0.003,0.999,57.26
3,-240.45,86.09,70.20,0.032,0.002,-0.004,0.999,57.27
4,-240.50,86.08,70.20,0.033,0.002,-0.003,0.999,57.27
5,-240.51,86.09,70.19,0.032,0.002,-0.003,0.999,57.27
6,-240.50,86.09,70.19,0.032,0.002,-0.003,0.999,57.27
7,-240.51,86.09,70.20,0.032,0.002,-0.003,0.999,57.27
8,-240.51,86.09,70.21,0.032,0.002,-0.003,0.999,57.27
9,-240.50,86.09,70.21,0.032,0.003,-0.003,0.999,57.27
10,-240.51,86.09,70.23,0.032,0.002,-0.003,0.999,57.27
11,-240.54,86.09,70.19,0.032,0.001,-0.003,0.999,57.27
12,-240.56,86.06,70.17,0.032,0.001,-0.003,0.999,57.27
13,-240.61,86.09,70.18,0.032,-0.002,-0.004,0.999,57.27
14,-240.58,86.09,70.20,0.031,0,-0.003,1,57.27
15,-240.58,86.09,70.22,0.031,0,-0.002,1,57.27
16,-240.61,86.10,70.19,0.032,-0.002,-0.004,0.999,57.27
17,-240.60,86.10,70.17,0.033,-0.001,-0.004,0.999,57.26
18,-240.57,86.09,70.17,0.033,0,-0.004,0.999,57.27
19,-240.54,86.09,70.22,0.031,0.001,-0.003,1,57.27
20,-240.60,86.10,70.21,0.031,-0.003,-0.003,1,57.27
21,-240.64,86.10,70.21,0.031,-0.003,-0.003,1,57.27
22,-240.65,86.10,70.19,0.032,-0.003,-0.004,0.999,57.27
23,-240.61,86.10,70.22,0.031,-0.002,-0.003,1,57.27
24,-240.63,86.10,70.18,0.032,-0.003,-0.004,0.999,57.27
25,-240.61,86.10,70.16,0.032,-0.001,-0.004,0.999,57.27
