Sr No.,Large-LeftPosition-X,Large-LeftPosition-Z,Large-RightPosition-X,Large-RightPosition-Z,Large-StraightPosition-X,Large-StraightPosition-Z,,Medium-LeftPosition-X,Medium-LeftPosition-Z,Medium-RightPosition-X,Medium-RightPosition-Z,Medium-StraightPosition-X,Medium-StraightPosition-Z,,Small-LeftPosition-X,Small-LeftPosition-Z,Small-RightPosition-X,Small-RightPosition-Z,Small-StraightPosition-X,Small-StraightPosition-Z
1,-2194.025635,598.022034,-2194.025635,571.297546,-2381.745361,674.172668,,-2235.512695,595.702698,-2617.90332,535.711731,-2418.100586,659.687378,,-2242.876221,609.487488,-2637.660645,535.708252,-2433.060791,669.296997
2,-2194.315674,598.255798,-2194.315674,571.28064,-2382.274902,680.81488,,-2234.176758,594.96283,-2598.550293,693.393066,-2417.995117,660.025574,,-2243.235596,610.798218,-2637.294434,535.940613,-2434.410156,670.354797
3,-2195.224121,598.90033,-2195.224121,570.026306,-2382.902588,681.212402,,-2234.978271,595.769348,-2618.104004,535.55188,-2418.205566,659.392822,,-2243.800537,610.19165,-2637.258057,535.575317,-2433.773682,670.163513
4,-2193.830566,598.506226,-2193.830566,570.832153,-2381.72876,679.350708,,-2235.00708,594.366028,-2617.662354,535.537292,-2418.011475,659.047852,,-2243.738037,611.396362,-2637.019775,535.713928,-2433.462646,669.930542
5,-2193.50415,599.597229,-2193.50415,570.979004,-2381.107178,680.090332,,-2234.266846,595.256226,-2618.001465,535.268677,-2417.974365,659.747009,,-2242.874023,610.343567,-2637.064697,535.701965,-2432.93042,668.996948
6,-2193.893066,599.489014,-2193.893066,570.776184,-2382.200928,681.101807,,-2234.489746,595.356384,-2617.936279,535.319641,-2417.791748,659.86554,,-2243.80542,611.402893,-2637.248291,535.578613,-2432.699951,669.03479
7,-2193.527344,598.727356,-2193.527344,569.529358,-2381.38916,680.531738,,-2233.941406,603.203491,-2617.580811,535.842651,-2418.013184,659.915039,,-2242.894287,610.005493,-2636.570312,535.61908,-2433.664062,670.117554
8,-2194.064941,598.686218,-2194.064941,570.314087,-2381.069336,679.094849,,-2233.94873,595.41626,-2617.72998,535.264221,-2418.030518,659.832581,,-2243.206543,610.967712,-2636.940918,535.769897,-2433.650879,667.578918
9,-2194.113037,599.012756,-2194.113037,571.05304,-2381.10498,679.051147,,-2234.762451,594.974976,-2617.756348,534.969666,-2418.054932,659.552002,,-2245.117188,611.439575,-2637.021729,536.051636,-2433.461426,669.185059
10,-2193.830322,598.984436,-2193.830322,569.406738,-2381.628418,680.194275,,-2225.644531,771.854614,-2618.063477,535.806458,-2417.929199,659.280151,,-2243.483643,610.179626,-2627.880615,537.492798,-2433.451416,669.972412
11,-2193.785889,599.262329,-2193.785889,572.950989,-2380.915039,679.103882,,-2234.742188,595.196228,-2617.891846,535.027222,-2418.116699,659.850525,,-2240.594727,612.166138,-2636.953125,535.72345,-2433.461182,670.331116
12,-2193.99585,598.082825,-2193.99585,570.521606,-2381.172852,679.813599,,-2235.247314,595.827881,-2617.714844,536.160767,-2418.130371,660.15686,,-2242.737793,610.210632,-2636.736328,535.495361,-2434.654053,670.549133
13,-2194.348389,598.518677,-2194.348389,569.995667,-2381.94458,680.237061,,-2234.517334,594.889282,-2618.161377,536.490967,-2418.348633,659.902893,,-2243.25415,610.264221,-2636.883789,535.463013,-2433.083496,669.174805
14,-2193.537354,599.008301,-2193.537354,572.06488,-2382.303955,680.71698,,-2233.978027,595.324219,-2617.600586,534.894348,-2418.04248,659.706421,,-2243.186279,609.8479,-2634.53833,536.650818,-2433.061035,669.00354
15,-2194.281982,598.893921,-2194.281982,570.621765,-2380.503662,678.428406,,-2235.167969,596.068054,-2617.910645,535.034973,-2418.221436,659.702271,,-2243.441162,611.940735,-2637.205566,535.989197,-2432.79541,669.373962
16,-2195.266602,601.093262,-2195.266602,571.877808,-2381.245361,679.754761,,-2234.766602,594.773682,-2617.935059,535.034485,-2417.973877,659.251038,,-2242.905762,610.658081,-2637.403564,536.084106,-2432.757568,669.174927
17,-2194.701416,598.713684,-2194.701416,569.889038,-2381.275391,679.61969,,-2234.420654,594.166626,-2618.469971,536.063293,-2417.566895,660.360413,,-2233.187744,625.524109,-2636.750244,535.715759,-2432.945557,669.3479
18,-2193.974365,599.039734,-2193.974365,571.591492,-2382.038574,679.968018,,-2234.524902,595.123779,-2618.437988,536.122681,-2417.767334,659.636169,,-2243.433838,610.086487,-2637.080566,536.021301,-2432.742432,669.341248
19,-2194.797607,598.294861,-2194.797607,570.208862,-2381.284668,680.299927,,-2234.180908,595.367065,-2617.766357,535.215149,-2418.090332,660.002258,,-2243.355469,610.108215,-2636.870117,536.036499,-2433.712646,670.672668
20,-2194.133545,598.988892,-2194.133545,570.859192,-2382.137451,680.813477,,-2234.128906,595.605042,-2618.298584,535.443726,-2418.124512,659.931396,,-2244.067627,610.190491,-2636.893066,535.970886,-2433.756592,670.817566
21,-2194.529053,600.066284,-2194.529053,571.134399,-2381.744873,680.217529,,-2234.529053,594.63562,-2617.679932,535.057861,-2417.832275,659.077881,,-2243.5354,610.002014,-2636.99707,535.838989,-2432.849121,669.207153
22,-2194.442139,598.136292,-2194.442139,570.828552,-2381.940674,680.417297,,-2234.165771,594.912964,-2617.541016,535.450989,-2417.707275,657.955322,,-2241.918701,610.088196,-2636.856445,535.532043,-2433.655029,670.323181
23,-2194.604248,599.387451,-2194.604248,571.190002,-2381.982422,680.062378,,-2234.455811,594.77948,-2619.823242,537.274963,-2418.018799,659.73175,,-2243.019531,609.868774,-2636.78833,535.233337,-2432.70166,669.272827
24,-2194.368164,599.910706,-2194.368164,570.255554,-2381.88916,679.638489,,-2234.893311,595.893799,-2618.087158,535.840393,-2418.13916,659.882385,,-2242.964844,609.488281,-2638.320801,536.013306,-2432.911865,669.216003
25,-2194.428467,598.684631,-2194.428467,571.000977,-2381.039307,679.943237,,-2235.026367,595.098999,-2618.150879,535.792297,-2418.264648,659.400146,,-2243.843262,610.358765,-2636.501465,535.526123,-2432.740967,669.182129
