Reading no.,Front Pen X (cm),Front Pen Y (cm),Back Left Pen X (cm),Back Left Pen Y (cm),Back Right Pen X (cm),Back Right Pen Y (cm),Final Robot Pose X (cm),Final Robot Pose Y (cm),θ (degree),final_theta_radians
1,0.7,67.5,-4.5,47.1,3.6,47.2,-0.1,53.9,87,1.5184
2,-0.2,67.6,-4.2,47.3,3.9,47.3,-0.2,54.1,90,1.5708
3,-0.5,66.6,-4.2,46.3,3.8,46.4,-0.3,53.1,91,1.5882
4,0.9,66.4,-3.5,46.1,4.5,46.0,0.6,52.8,89,1.5533
5,-1.0,66.9,-4.6,46.6,3.3,46.6,-0.8,53.4,91,1.5882
6,-1.3,67.0,-4.0,46.6,3.0,46.7,-0.8,53.4,92,1.6057
7,1.4,66.6,-3.3,46.6,4.7,46.3,0.9,53.2,88,1.5359
8,0.6,66.9,-3.8,46.6,4.3,46.5,0.4,53.3,89,1.5533
9,-0.4,67.4,-4.4,47.1,3.7,47.1,-0.4,53.9,90,1.5708
10,0.1,67.5,-3.9,47.3,4.0,47.3,0.1,54.0,90,1.5708
11,1.5,67.3,-3.3,47.3,4.7,47.0,1.0,53.9,88,1.5359
12,0.8,67.0,-3.5,46.7,4.5,46.6,0.6,53.4,89,1.5533
13,1.4,67.0,-3.0,46.9,5.0,46.6,1.1,53.5,89,1.5533
14,0.4,66.3,-3.7,46.1,4.2,46.0,0.3,52.8,90,1.5708
15,0.1,65.8,-3.7,45.6,4.0,45.6,0.1,52.3,90,1.5708
16,0.2,66.4,-3.6,46.5,4.7,45.8,0.4,52.9,91,1.5882
17,-1.0,67.4,-3.6,46.4,3.9,47.0,-0.2,53.6,93,1.6232
18,1.0,67.0,-4.4,46.2,3.9,45.9,0.2,53.0,87,1.5184
19,-0.3,66.4,-3.6,46.6,4.8,47.2,0.3,53.4,93,1.6232
20,0.9,66.9,-4.4,47.0,3.7,46.4,0.1,53.4,86,1.5009
21,0.1,66.5,-4.2,47.2,3.0,47.2,-0.4,53.6,88,1.5359
22,1.4,67.0,-4.3,47.0,4.6,47.2,0.6,53.7,86,1.5009
23,-1.0,66.6,-3.6,46.6,3.7,47.2,-0.3,53.5,93,1.6232
24,-1.2,67.5,-4.4,46.5,3.4,45.9,-0.7,53.3,92,1.6057
25,0.3,66.5,-3.9,46.4,3.8,46.3,0.1,53.1,89,1.5533
