Reading no.,x_front,y_front,x_left,y_left,x_right,y_right,,x_start,y_start,,final_x,final_y,final_theta,final_theta_radians
1,-31,46.8,-15.1,33.6,-11.2,40.8,,0,6.8,,-19.1,40.4,152,2.652900463
2,-30,46.8,-14.5,33.2,-10.5,40,,0,6.8,,-18.3,40,150,2.617993878
3,-29.9,47.1,-14.4,33.4,-10.3,40.2,,0,6.8,,-18.2,40.2,150,2.617993878
4,-30.8,47.2,-15,34,-11.1,41,,0,6.8,,-19,40.7,151,2.635447171
5,-29.5,47.5,-14.2,33.9,-10.2,40.8,,0,6.8,,-18,40.7,150,2.617993878
6,-30.1,47,-14.6,33.3,-10.5,40.2,,0,6.8,,-18.4,40.2,150,2.617993878
7,-29.8,47.1,-14.1,33.5,-10.1,40.5,,0,6.8,,-18,40.4,150,2.617993878
8,-30.5,46.6,-14.8,33.2,-10.8,40.1,,0,6.8,,-18.7,40,151,2.635447171
9,-29.6,47.2,-14.1,33.4,-10.1,40.3,,0,6.8,,-17.9,40.3,149,2.600540585
10,-29.8,47.1,-13.7,33.3,-10.3,40.1,,0,6.8,,-17.9,40.2,150,2.617993878
11,-30.1,47.6,-14.6,34,-10.6,40.9,,0,6.8,,-18.4,40.8,150,2.617993878
12,-29.6,47.7,-14.1,34,-10,40.9,,0,6.8,,-17.9,40.9,150,2.617993878
13,-29.9,47,-14.4,33.4,-10.4,40.3,,0,6.8,,-18.2,40.2,150,2.617993878
14,-30.8,47.1,-14.4,33.2,-10.9,40.3,,0,6.8,,-18.7,40.2,150,2.617993878
15,-29.4,47.6,-14,33.7,-10,40.5,,0,6.8,,-17.8,40.6,149,2.600540585
16,-30.1,47.5,-14.8,34,-10.3,40.2,,0,6.8,,-18.4,40.6,149,2.600540585
17,-29.8,47,-13.9,33.9,-10.3,40.1,,0,6.8,,-18,40.3,151,2.635447171
18,-29.9,47,-14.4,33.8,-10.5,40.4,,0,6.8,,-18.3,40.4,150,2.617993878
19,-30.7,46.9,-13.9,33.9,-11,40.5,,0,6.8,,-18.5,40.4,152,2.652900463
20,-30.2,47.7,-14.5,33.2,-10.7,40.4,,0,6.8,,-18.5,40.4,148,2.583087293
21,-30.3,47.2,-14.6,33.5,-10.1,40.2,,0,6.8,,-18.3,40.3,150,2.617993878
22,-30.8,47.4,-14,33.7,-11,40.2,,0,6.8,,-18.6,40.4,150,2.617993878
23,-29.9,47.3,-14.8,33.8,-10.6,40.7,,0,6.8,,-18.4,40.6,150,2.617993878
24,-29.9,47.4,-14.1,33.6,-10.7,40.5,,0,6.8,,-18.2,40.5,149,2.600540585
25,-30.1,47.6,-14.3,33.5,-11.2,40.4,,0,6.8,,-18.5,40.5,148,2.583087293
