Reading no.,x_front,y_front,x_left,y_left,x_right,y_right,,x_start,y_start,,final_x,final_y,final_theta,final_theta_radians
1,0.7,67.5,-4.5,47.1,3.6,47.2,,0,6.8,,-0.1,53.9,87,1.518436449
2,-0.2,67.6,-4.2,47.3,3.9,47.3,,0,6.8,,-0.2,54.1,90,1.570796327
3,-0.5,66.6,-4.2,46.3,3.8,46.4,,0,6.8,,-0.3,53.1,91,1.588249619
4,0.9,66.4,-3.5,46.1,4.5,46,,0,6.8,,0.6,52.8,89,1.553343034
5,-1,66.9,-4.6,46.6,3.3,46.6,,0,6.8,,-0.8,53.4,91,1.588249619
6,-1.3,67,-4,46.6,3,46.7,,0,6.8,,-0.8,53.4,92,1.605702912
7,1.4,66.6,-3.3,46.6,4.7,46.3,,0,6.8,,0.9,53.2,88,1.535889742
8,0.6,66.9,-3.8,46.6,4.3,46.5,,0,6.8,,0.4,53.3,89,1.553343034
9,-0.4,67.4,-4.4,47.1,3.7,47.1,,0,6.8,,-0.4,53.9,90,1.570796327
10,0.1,67.5,-3.9,47.3,4,47.3,,0,6.8,,0.1,54,90,1.570796327
11,1.5,67.3,-3.3,47.3,4.7,47,,0,6.8,,1,53.9,88,1.535889742
12,0.8,67,-3.5,46.7,4.5,46.6,,0,6.8,,0.6,53.4,89,1.553343034
13,1.4,67,-3,46.9,5,46.6,,0,6.8,,1.1,53.5,89,1.553343034
14,0.4,66.3,-3.7,46.1,4.2,46,,0,6.8,,0.3,52.8,90,1.570796327
15,0.1,65.8,-3.7,45.6,4,45.6,,0,6.8,,0.1,52.3,90,1.570796327
16,0.2,66.4,-3.6,46.5,4.7,45.8,,0,6.8,,0.4,52.9,91,1.588249619
17,-1,67.4,-3.6,46.4,3.9,47,,0,6.8,,-0.2,53.6,93,1.623156204
18,1,67,-4.4,46.2,3.9,45.9,,0,6.8,,0.2,53,87,1.518436449
19,-0.3,66.4,-3.6,46.6,4.8,47.2,,0,6.8,,0.3,53.4,93,1.623156204
20,0.9,66.9,-4.4,47,3.7,46.4,,0,6.8,,0.1,53.4,86,1.500983157
21,0.1,66.5,-4.2,47.2,3,47.2,,0,6.8,,-0.4,53.6,88,1.535889742
22,1.4,67,-4.3,47,4.6,47.2,,0,6.8,,0.6,53.7,86,1.500983157
23,-1,66.6,-3.6,46.6,3.7,47.2,,0,6.8,,-0.3,53.5,93,1.623156204
24,-1.2,67.5,-4.4,46.5,3.4,45.9,,0,6.8,,-0.7,53.3,92,1.605702912
25,0.3,66.5,-3.9,46.4,3.8,46.3,,0,6.8,,0.1,53.1,89,1.553343034
