x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,
0,0,1.570796327,,0,0,1.570796327,,0,0,1.570796327,,
0,0,1.570796327,,0,0,1.570796327,,0,0,1.570796327,,
0,0,1.570796327,,-9.95E-05,0.524434407,1.566723892,,0,0,1.570796327,,
0,1.048869219,1.570796327,,-9.95E-05,0.548869016,1.570796327,,0,0.048869219,1.570796327,,
0,1.146607657,1.570796327,,-0.000398032,0.622172237,1.566723892,,0,0.146607657,1.570796327,,
0,1.244346095,1.570796327,,-0.000796065,0.719909865,1.566723892,,-0.00049754,0.268779692,1.566723892,,
0,1.342084533,1.570796327,,-0.001791137,0.84207886,1.562651457,,-0.002288646,0.415376407,1.558579022,,
0,1.53756141,1.570796327,,-0.004477796,1.061973934,1.558579022,,-0.003482743,0.70858929,1.566723892,,
0,1.684169067,1.570796327,,-0.006268902,1.20857065,1.558579022,,-0.004875845,0.879625884,1.562651457,,
-0.000696557,1.855209915,1.566723892,,-0.009055013,1.379590223,1.554506587,,-0.005572401,1.050666732,1.566723892,,1
-0.000696557,2.026252182,1.570796327,,-0.011443108,1.526178429,1.554506587,,-0.007363532,1.270570924,1.562651457,,
-0.000696557,2.221729058,1.570796327,,-0.014627234,1.721629371,1.554506587,,-0.009353677,1.514908914,1.562651457,,
-0.001592129,2.44163872,1.566723892,,-0.017313893,1.941524444,1.558579022,,-0.010945793,1.710379306,1.562651457,,
-0.002388194,2.637113975,1.566723892,,-0.019702034,2.136986732,1.558579022,,-0.013731997,2.052452493,1.562651457,,
-0.003383275,2.881458045,1.566723892,,-0.023284177,2.356869041,1.554506587,,-0.014627569,2.272362155,1.566723892,,
-0.005174405,3.101362236,1.562651457,,-0.025970835,2.576764115,1.558579022,,-0.01562265,2.516706224,1.566723892,,
-0.007164551,3.345700227,1.562651457,,-0.028956012,2.821091974,1.558579022,,-0.01781181,2.785478014,1.562651457,,
-0.008060123,3.565609889,1.566723892,,-0.031941188,3.065419834,1.558579022,,-0.019801955,3.029816004,1.562651457,,
-0.009055204,3.809953958,1.566723892,,-0.034926365,3.309747694,1.558579022,,-0.019801955,3.2741621,1.570796327,,
-0.010050285,4.054298027,1.566723892,,-0.037314506,3.505209981,1.558579022,,-0.020896544,3.542940576,1.566723892,,
-0.011841416,4.274202218,1.562651457,,-0.040299682,3.749537841,1.558579022,,-0.021891625,3.787284645,1.566723892,,
-0.012736988,4.49411188,1.566723892,,-0.043284859,3.993865701,1.558579022,,-0.022687689,3.9827599,1.566723892,,
-0.013732069,4.73845595,1.566723892,,-0.045673,4.189327988,1.558579022,,-0.02368277,4.227103969,1.566723892,,
-0.0155232,4.958360141,1.562651457,,-0.052439269,4.604661239,1.554506587,,-0.024478835,4.422579224,1.566723892,,
-0.017115316,5.153830533,1.562651457,,-0.055125928,4.824556312,1.558579022,,-0.024478835,4.64249071,1.570796327,,
-0.018010889,5.373740196,1.566723892,,-0.063483498,5.117652494,1.542289282,,-0.025374407,4.862400372,1.566723892,,
-0.019802019,5.593644387,1.562651457,,-0.066070686,5.435291881,1.562651457,,-0.027165538,5.082304564,1.562651457,,
-0.020697592,5.813554049,1.566723892,,-0.067264774,5.581894676,1.562651457,,-0.027862095,5.253345412,1.566723892,,
-0.021493657,6.009029304,1.566723892,,-0.068558379,5.899541966,1.566723892,,-0.027862095,5.473256898,1.570796327,,
-0.022289721,6.20450456,1.566723892,,-0.069553459,6.143886035,1.566723892,,-0.027862095,5.668733774,1.570796327,,
-0.024080852,6.424408751,1.562651457,,-0.071941601,6.339348322,1.558579022,,-0.027862095,5.86421065,1.570796327,,
-0.024976425,6.644318413,1.566723892,,-0.073732731,6.559252514,1.562651457,,-0.028757667,6.084120312,1.566723892,,
-0.025772489,6.839793669,1.566723892,,-0.075722876,6.803590504,1.562651457,,-0.028757667,6.304031798,1.570796327,,
-0.026568554,7.035268924,1.566723892,,-0.077314992,6.999060897,1.562651457,,-0.028757667,6.499508674,1.570796327,,
-0.028359685,7.255173115,1.562651457,,-0.079404616,7.170090398,1.558579022,,-0.028757667,6.694985551,1.570796327,,
-0.029951801,7.450643508,1.562651457,,-0.081593776,7.438862188,1.562651457,,-0.02965324,6.914895213,1.566723892,,
-0.033931959,7.694957184,1.554506587,,-0.083185892,7.63433258,1.562651457,,-0.030449305,7.110370468,1.566723892,,
-0.036320133,7.988162773,1.562651457,,-0.085176037,7.878670571,1.562651457,,-0.031245369,7.305845723,1.566723892,,
-0.039006792,8.208057847,1.558579022,,-0.086768153,8.074140963,1.562651457,,-0.032041434,7.501320979,1.566723892,,
-0.041195952,8.476829636,1.562651457,,-0.089454812,8.294036037,1.558579022,,-0.032837499,7.696796234,1.566723892,,
-0.043584126,8.770035225,1.562651457,,-0.092439988,8.538363897,1.558579022,,-0.032837499,7.91670772,1.570796327,,
-0.044479698,8.989944887,1.566723892,,-0.094231119,8.758268088,1.562651457,,-0.032837499,8.112184596,1.570796327,,
-0.046270829,9.209849078,1.562651457,,-0.095425206,8.904870882,1.562651457,,-0.033733071,8.332094258,1.566723892,,
-0.047862945,9.405319471,1.562651457,,-0.098111865,9.124765956,1.558579022,,-0.034529136,8.527569513,1.566723892,,
-0.049455061,9.600789863,1.562651457,,-0.101097041,9.369093816,1.558579022,,-0.034529136,8.894088656,1.570796327,,
-0.050350634,9.820699525,1.566723892,,-0.103485182,9.564556103,1.558579022,,-0.035424709,9.113998318,1.566723892,,
-0.051146699,10.01617478,1.566723892,,-0.105276313,9.784460295,1.562651457,,-0.036220774,9.309473574,1.566723892,,
-0.051942763,10.21165004,1.566723892,,-0.1064704,9.931063089,1.562651457,,-0.037215854,9.553817643,1.566723892,,
-0.053733894,10.43155423,1.562651457,,-0.108062516,10.12653348,1.562651457,,-0.038011919,9.749292898,1.566723892,,
-0.05532601,10.62702462,1.562651457,,-0.110749175,10.34642856,1.558579022,,-0.038807984,9.944768153,1.566723892,,
-0.056918126,10.82249501,1.562651457,,-0.113137316,10.54189084,1.558579022,,-0.039803064,10.18911222,1.566723892,,
-0.057614683,10.99353586,1.566723892,,-0.114928447,10.76179503,1.562651457,,-0.040798145,10.43345629,1.566723892,,
-0.058410747,11.18901112,1.566723892,,-0.116520563,10.95726543,1.562651457,,-0.04159421,10.62893155,1.566723892,,
-0.060201878,11.40891531,1.562651457,,-0.118610186,11.12829493,1.558579022,,-0.042589291,10.87327562,1.566723892,,
-0.061097451,11.62882497,1.566723892,,-0.120998328,11.32375722,1.558579022,,-0.043385355,11.06875087,1.566723892,,
-0.061893515,11.82430022,1.566723892,,-0.122789458,11.54366141,1.562651457,,-0.04418142,11.26422613,1.566723892,,
-0.06268958,12.01977548,1.566723892,,-0.124381574,11.7391318,1.562651457,,-0.045972551,11.48413032,1.562651457,,
-0.064480711,12.23967967,1.562651457,,-0.12597369,11.93460219,1.562651457,,-0.046868123,11.70403998,1.566723892,,
-0.066072827,12.43515006,1.562651457,,-0.128063314,12.10563169,1.558579022,,-0.046868123,11.92395147,1.570796327,,
-0.0669684,12.65505973,1.566723892,,-0.129854445,12.32553589,1.562651457,,-0.048858269,12.16828946,1.562651457,,
-0.067764464,12.85053498,1.566723892,,-0.131446561,12.52100628,1.562651457,,-0.049952858,12.43706793,1.566723892,,
-0.068560529,13.04601024,1.566723892,,-0.133436706,12.76534427,1.562651457,,-0.050748922,12.63254319,1.566723892,,
-0.070749689,13.31478203,1.562651457,,-0.136123365,12.98523934,1.558579022,,-0.051544987,12.82801844,1.566723892,,
-0.072341805,13.51025242,1.562651457,,-0.138511506,13.18070163,1.558579022,,-0.052341051,13.0234937,1.566723892,,
-0.073535892,13.65685521,1.562651457,,-0.141496682,13.42502949,1.558579022,,-0.052341051,13.24340518,1.570796327,,
-0.074431464,13.87676487,1.566723892,,-0.146471756,13.66932493,1.550434152,,-0.053236624,13.46331485,1.566723892,,
-0.076222595,14.09666907,1.562651457,,-0.149456933,13.91365279,1.558579022,,-0.054032689,13.6587901,1.566723892,,
-0.07821274,14.34100706,1.562651457,,-0.152442109,14.15798065,1.558579022,,-0.054828754,13.85426536,1.566723892,,
-0.079804856,14.53647745,1.562651457,,-0.15423324,14.37788484,1.562651457,,-0.055624818,14.04974061,1.566723892,,
-0.080501413,14.7075183,1.566723892,,-0.161397129,14.67101263,1.546361717,,-0.056619899,14.29408468,1.566723892,,
-0.081297478,14.90299355,1.566723892,,-0.164680823,14.93977327,1.558579022,,-0.057415964,14.48955994,1.566723892,,
-0.083088608,15.12289774,1.562651457,,-0.167068964,15.13523556,1.558579022,,-0.058212028,14.68503519,1.566723892,,
-0.085078753,15.36723573,1.562651457,,-0.170651106,15.35511787,1.554506587,,-0.059008093,14.88051045,1.566723892,,
-0.086670869,15.56270613,1.562651457,,-0.17274073,15.52614737,1.558579022,,-0.060799224,15.10041464,1.562651457,,
-0.087367426,15.73374698,1.566723892,,-0.176322872,15.74602968,1.554506587,,-0.061694796,15.3203243,1.566723892,,
-0.088760539,16.07582867,1.566723892,,-0.179009531,15.96592476,1.558579022,,-0.063485927,15.54022849,1.562651457,,
-0.089556604,16.27130393,1.566723892,,-0.181397672,16.16138704,1.558579022,,-0.0643815,15.76013815,1.566723892,,
-0.090352669,16.46677918,1.566723892,,-0.183785813,16.35684933,1.558579022,,-0.065177564,15.95561341,1.566723892,,
-0.092143799,16.68668337,1.562651457,,-0.186173954,16.55231162,1.558579022,,-0.065973629,16.15108866,1.566723892,,
-0.093735915,16.88215377,1.562651457,,-0.188562096,16.74777391,1.558579022,,-0.06696871,16.39543273,1.566723892,,
-0.095328031,17.07762416,1.562651457,,-0.190353226,16.9676781,1.562651457,,-0.067764775,16.59090799,1.566723892,,
-0.096920147,17.27309455,1.562651457,,-0.193039885,17.18757317,1.558579022,,-0.068560839,16.78638324,1.566723892,,
-0.098910293,17.51743254,1.562651457,,-0.195428026,17.38303546,1.558579022,,-0.071148028,17.10402263,1.562651457,,
-0.100502409,17.71290293,1.562651457,,-0.197816167,17.57849775,1.558579022,,-0.072043601,17.32393229,1.566723892,,
-0.102094525,17.90837333,1.562651457,,-0.199209269,17.74953434,1.562651457,,-0.073436702,17.49496889,1.562651457,,
-0.103686641,18.10384372,1.562651457,,-0.201895928,17.96942941,1.558579022,,-0.074332275,17.71487855,1.566723892,,
-0.104582214,18.32375338,1.566723892,,-0.204284069,18.1648917,1.558579022,,-0.076123406,17.93478274,1.562651457,,
-0.106373344,18.54365757,1.562651457,,-0.206075175,18.31148842,1.558579022,,-0.077018978,18.1546924,1.566723892,,
-0.10796546,18.73912797,1.562651457,,-0.207866305,18.53139261,1.562651457,,-0.077815043,18.35016766,1.566723892,,
-0.109557577,18.93459836,1.562651457,,-0.21234407,18.8978844,1.558579022,,-0.078611108,18.54564291,1.566723892,,
-0.110453149,19.15450802,1.566723892,,-0.214732211,19.09334669,1.558579022,,-0.079407172,18.74111817,1.566723892,,
-0.111249214,19.34998327,1.566723892,,-0.218314423,19.38654012,1.558579022,,-0.081198303,18.96102236,1.562651457,,
-0.112045279,19.54545853,1.566723892,,-0.219707525,19.55757671,1.562651457,,-0.082790419,19.15649275,1.562651457,,
-0.113836409,19.76536272,1.562651457,,-0.22169767,19.8019147,1.562651457,,-0.083885008,19.42527123,1.566723892,,
-0.115428525,19.96083311,1.562651457,,-0.224981364,20.07067535,1.558579022,,-0.084681073,19.62074648,1.566723892,,
-0.116324098,20.18074278,1.566723892,,-0.227369505,20.26613764,1.558579022,,-0.085477137,19.81622174,1.566723892,,
-0.117120163,20.37621803,1.566723892,,-0.232344579,20.51043308,1.550434152,,-0.086273202,20.01169699,1.566723892,,
-0.117916227,20.57169329,1.566723892,,-0.234533739,20.77920487,1.562651457,,-0.088064332,20.23160119,1.562651457,,
-0.119707358,20.79159748,1.562651457,,-0.238414468,21.09683108,1.558579022,,-0.089656449,20.42707158,1.562651457,,
-0.121299474,20.98706787,1.562651457,,-0.240603628,21.36560287,1.562651457,,-0.091646594,20.67140957,1.562651457,,
-0.12289159,21.18253826,1.562651457,,-0.242693251,21.53663238,1.558579022,,-0.092542166,20.89131923,1.566723892,,
-0.123787163,21.40244793,1.566723892,,-0.247867457,21.85424016,1.554506587,,-0.093338231,21.08679449,1.566723892,,
-0.125578294,21.62235212,1.562651457,,-0.250255631,22.14744574,1.562651457,,-0.095129362,21.30669868,1.562651457,,
-0.12717041,21.81782251,1.562651457,,-0.252345255,22.31847525,1.558579022,,-0.096024934,21.52660834,1.566723892,,
